date,Vmax,level,V,perc,Diff*1000,Qin,Qout
10/01/2024,165.26,389.68,29.675,17.95%,-238,2.34267592592597,5.0973055555556
10/02/2024,165.26,389.56,29.417,17.8%,-258,1.86050115740732,4.84661226851842
10/03/2024,165.26,389.45,29.181,17.65%,-236,4.56115856481484,7.29264004629633
10/04/2024,165.26,389.65,29.61,17.91%,429,11.9086203703704,6.94334259259264
10/05/2024,165.26,389.74,29.804,18.03%,194.000000000003,6.31316203703707,4.06779166666666
10/06/2024,165.26,389.72,29.761,18%,-42.9999999999993,2.42778124999995,2.92546643518513
10/07/2024,165.26,389.72,29.761,18%,-21,2.81461988643696,3.05767544199252
10/08/2024,165.26,389.71,29.74,17.99%,-21.0000000000008,2.63292245370368,2.87597800925925
10/09/2024,165.26,389.662,29.636,17.93%,-103.999999999999,2.57319328703716,3.77689699074086
10/10/2024,165.26,389.689,29.694,17.96%,57.9999999999998,5.0747824074073,4.40348611111101
10/11/2024,165.26,389.8,29.934,18.11%,239.999999999998,3.16702430555552,0.389246527777763
10/12/2024,165.26,389.93,30.216,18.28%,282,3.37870370370373,0.114814814814846
10/13/2024,165.26,390.06,30.499,18.45%,283,3.31020370370376,0.0347407407407888
10/14/2024,165.26,390.17,30.739,18.6%,240,2.99927546296303,0.221497685185277
10/15/2024,165.26,390.29,31.002,18.75%,263,3.09395486111112,0.0499733796296111
10/16/2024,165.26,390.41,31.265,18.91%,263,3.05074537037035,0.00676388888888887
10/17/2024,165.26,390.51,31.486,19.05%,221,2.56471009162473,0.00683972125435539
10/18/2024,165.26,390.95,32.462,19.64%,976,11.3017333592334,0.00543706293706291
10/19/2024,165.26,391.23,33.09,20.02%,628,7.27209893809894,0.00358041958041958
10/20/2024,165.26,391.46,33.61,20.33%,520,6.02087268518514,0.00235416666666667
10/21/2024,165.26,391.62,33.973,20.55%,363,4.20427973395931,0.00289084507042254
10/22/2024,165.26,391.78,34.338,20.77%,365,4.2279950789951,0.00345804195804196
10/23/2024,165.26,391.91,34.636,20.95%,298,3.45385879629632,0.0047847222222222
10/24/2024,165.26,392.03,34.912,21.12%,276,3.19835733643046,0.00391289198606271
10/25/2024,165.26,392.17,35.235,21.32%,323,3.73842592592593,0
10/26/2024,165.26,392.308,35.555,21.51%,320,3.70774230019493,0.00403859649122806
10/27/2024,165.26,393.047,37.287,22.56%,1732,20.0505645889792,0.00426829268292682
10/28/2024,165.26,393.82,39.137,23.68%,1850,21.415240545809,0.00320350877192983
10/29/2024,165.26,394.27,40.234,24.34%,1097,12.7002366111756,0.00347735191637631
10/30/2024,165.26,394.67,41.219,24.94%,985,11.4044699316041,0.00400696864111499
10/31/2024,165.26,395.14,42.394,25.65%,1175,13.599537037037,0
11/01/2024,165.26,395.73,43.906,26.56%,1512,19.5341149825783,2.0341149825784
11/02/2024,165.26,396.2,45.141,27.31%,1235,19.2939814814816,5
11/03/2024,165.26,396.52,45.999,27.83%,858,14.9305555555555,5
11/04/2024,165.26,396.78,46.704,28.26%,705,13.1597222222222,5
11/05/2024,165.26,396.99,47.279,28.6%,575,11.6550925925926,5
11/06/2024,165.26,397.18,47.804,28.92%,525,11.1769533488192,5.10056445993031
11/07/2024,165.26,397.49,48.669,29.44%,865,15.030171976172,5.01859790209789
11/08/2024,165.26,397.74,49.375,29.87%,706,18.7312962962962,10.56
11/09/2024,165.26,397.95,49.972,30.23%,597,14.4197222222222,7.51
11/10/2024,165.26,398.18,50.631,30.63%,659,12.6273148148148,5
11/11/2024,165.26,398.38,51.208,30.98%,577,11.6782407407408,5
11/12/2024,165.26,398.46,51.441,31.12%,233,9.63675925925923,6.94
11/13/2024,165.26,398.44,51.382,31.09%,-59,8.70967858067859,9.39254895104893
11/14/2024,165.26,398.42,51.324,31.05%,-58,7.78586454286453,8.45716083916082
11/15/2024,165.26,398.37,51.179,30.96%,-145,9.11690882694531,10.7951495676861
11/16/2024,165.26,398.31,51.006,30.86%,-173,8.25210879629622,10.2544236111111
11/17/2024,165.26,398.21,50.717,30.68%,-289,7.42861574074094,10.7735231481483
11/18/2024,165.26,398.14,50.515,30.56%,-202,7.05352546296282,9.39148842592584
11/19/2024,165.26,398.04,50.229,30.39%,-286,7.44839814814816,10.7585833333334
11/20/2024,165.26,397.94,49.943,30.22%,-286,7.05713425925926,10.3673194444444
11/21/2024,165.26,397.77,49.46,29.92%,-483,5.8184699074075,11.4087476851853
11/22/2024,165.26,397.62,49.035,29.67%,-425,5.87494907407403,10.7939305555555
11/23/2024,165.26,397.13,47.665,28.84%,-1370,5.65463430799222,21.5111157894737
11/24/2024,165.26,396.7,46.486,28.12%,-1179,6.63352662037036,20.2793599537037
11/25/2024,165.26,396.28,45.355,27.44%,-1131,6.72778819444445,19.8180659722222
11/26/2024,165.26,395.83,44.166,26.72%,-1189,5.80678587962963,19.5683599537037
11/27/2024,165.26,395.32,42.851,25.92%,-1315,5.88337037037026,21.1032777777777
11/28/2024,165.26,394.79,41.518,25.12%,-1333,5.5855439814816,21.0137847222223
11/29/2024,165.26,394.46,40.7,24.62%,-818,5.32767476851855,14.7952673611111
11/30/2024,165.26,394.12,39.866,24.12%,-834,5.01653129436053,14.6693090721383
12/01/2024,165.26,393.8,39.089,23.65%,-777,5.23845949074068,14.2315150462962
12/02/2024,165.26,393.45,38.246,23.14%,-843,4.91346180555564,14.67040625
12/03/2024,165.26,393.06,37.318,22.58%,-928,5.44909143518523,16.1898321759259
12/04/2024,165.26,392.67,36.399,22.02%,-919,4.88362731481475,15.5202013888889
12/05/2024,165.26,392.242,35.402,21.42%,-997,4.33739120370369,15.8767430555555
12/06/2024,165.26,391.98,34.797,21.05%,-605,4.97283680555558,11.9751516203704
12/07/2024,165.26,391.73,34.224,20.7%,-573,4.26805555555554,10.9
12/08/2024,165.26,391.42,33.519,20.28%,-705,4.00027777777772,12.16
12/09/2024,165.26,391.2,33.023,19.98%,-496,4.57981520331522,10.3205559440559
12/10/2024,165.26,390.92,32.395,19.6%,-628,3.87977621832358,11.1482947368421
12/11/2024,165.26,390.63,31.751,19.21%,-644,3.80600155945417,11.2597052631579
12/12/2024,165.26,390.5,31.464,19.03%,-287,4.20306944444451,7.52482870370376
12/13/2024,165.26,390.32,31.068,18.79%,-396,4.25494889663181,8.83828222996516
12/14/2024,165.26,390.27,30.958,18.73%,-110,6.63780607720397,7.91095422535211
12/15/2024,165.26,390.29,31.002,18.75%,44,8.28891380471381,7.77965454545454
12/16/2024,165.26,390.23,30.87,18.67%,-132,6.19011420828491,7.7178919860627
12/17/2024,165.26,390.08,30.542,18.48%,-328,5.33628265107214,9.13257894736842
12/18/2024,165.26,389.95,30.259,18.3%,-283,5.00365591815589,8.27911888111886
12/19/2024,165.26,389.824,29.986,18.14%,-273,5.01172377080913,8.17144599303135
12/20/2024,165.26,389.644,29.597,17.9%,-388.999999999999,3.7976851851852,8.3
12/21/2024,165.26,389.48,29.245,17.69%,-352,3.93448148148145,8.00855555555552
12/22/2024,165.26,389.332,28.929,17.5%,-315.999999999999,4.44273294346981,8.10014035087721
12/23/2024,165.26,389.148,28.537,17.26%,-391.999999999999,4.42897337962965,8.96601041666667
12/24/2024,165.26,388.94,28.098,17%,-439,3.40533680555547,8.48635532407399
12/25/2024,165.26,388.786,27.775,16.8%,-323,3.690661182088,7.42908710801393
12/26/2024,165.26,388.63,27.449,16.6%,-326.000000000001,4.4384953703703,8.21164351851846
12/27/2024,165.26,388.48,27.137,16.42%,-312.000000000001,3.61659606481474,7.22770717592587
12/28/2024,165.26,388.31,26.785,16.2%,-352,3.87120254629626,7.94527662037033
12/29/2024,165.26,388.12,26.393,15.97%,-391.999999999999,3.50886822612088,8.0459052631579
12/30/2024,165.26,387.92,25.983,15.72%,-410,3.36960155945418,8.11497192982455
12/31/2024,165.26,387.71,25.556,15.46%,-427,3.3249537037037,8.26708333333333
01/01/2025,165.26,387.78,25.698,15.55%,141.999999999999,3.81771218049034,2.17419366197183
01/02/2025,165.26,387.83,25.8,15.61%,102,3.35763569492839,2.17708013937283
01/03/2025,165.26,387.85,25.841,15.63%,41.0000000000004,3.77453703703704,3.3
01/04/2025,165.26,387.76,25.657,15.52%,-184.000000000001,2.87750578703712,5.00713541666677
01/05/2025,165.26,387.65,25.434,15.39%,-222.999999999999,3.26642824074079,5.84744675925929
01/06/2025,165.26,387.55,25.232,15.26%,-201.999999999998,3.35453240740737,5.69249537037031
01/07/2025,165.26,387.45,25.03,15.14%,-202.000000000002,3.88007175925929,6.21803472222227
01/08/2025,165.26,387.25,24.628,14.9%,-402,2.71504800619433,7.36782578397212
01/09/2025,165.26,387.055,24.238,14.66%,-390,3.84594444444448,8.35983333333338
01/10/2025,165.26,386.82,23.772,14.38%,-466,2.66372007797273,8.05723859649123
01/11/2025,165.26,386.55,23.24,14.06%,-532,3.25552987482256,9.41293728222997
01/12/2025,165.26,386.23,22.617,13.68%,-623,2.73381688681687,9.94446503496503
01/13/2025,165.26,385.92,22.02,13.32%,-597,2.97438267288266,9.88410489510489
01/14/2025,165.26,385.601,21.413,12.95%,-607,2.8539342495806,9.87939721254355
01/15/2025,165.26,385.28,20.807,12.59%,-606,2.90836546651185,9.92225435540071
01/16/2025,165.26,384.95,20.191,12.21%,-616,2.8489403004403,9.97856993006993
01/17/2025,165.26,384.64,19.618,11.87%,-573,3.3349236111111,9.96686805555556
01/18/2025,165.26,384.25,18.904,11.43%,-714,3.16117382888109,11.42506271777
01/19/2025,165.26,383.84,18.164,10.99%,-740,3.43224074074081,11.9970555555556
01/20/2025,165.26,383.41,17.401,10.52%,-763,3.05942747451286,11.8904459930314
01/21/2025,165.26,382.967,16.633,10.06%,-768,3.1385286549707,12.0274175438596
01/22/2025,165.26,382.451,15.758,9.53%,-875,2.77412072525491,12.9014355400697
01/23/2025,165.26,381.982,14.979,9.06%,-779,2.8704746179746,11.8866783216783
01/24/2025,165.26,381.513,14.214,8.6%,-765,2.99722569444442,11.8513923611111
01/25/2025,165.26,381.241,13.777,8.33%,-437,2.7091680911681,7.76703846153846
01/26/2025,165.26,381.053,13.476,8.15%,-301,2.52235808966861,6.00615438596491
01/27/2025,165.26,380.847,13.15,7.95%,-326,2.20444975394974,5.9775979020979
01/28/2025,165.26,380.66,12.855,7.77%,-295,2.60190947218996,6.01626132404181
01/29/2025,165.26,380.492,12.593,7.62%,-262,2.9901988643696,6.02260627177701
01/30/2025,165.26,380.312,12.314,7.45%,-279,2.76693473193473,5.9961013986014
01/31/2025,165.26,380.131,12.035,7.28%,-279,2.7410298245614,5.97019649122807
02/01/2025,165.26,379.919,11.712,7.08%,-323,2.27938657407408,6.01781250000001
02/02/2025,165.26,379.714,11.402,6.89%,-310,2.42959104400569,6.01755400696864
02/03/2025,165.26,379.489,11.065,6.69%,-337,2.08398999870952,5.98445296167248
02/04/2025,165.26,379.295,10.777,6.52%,-288,2.59582694541232,5.92916027874565
02/05/2025,165.26,379.098,10.487,6.34%,-290,2.64097337962962,5.99745486111111
02/06/2025,165.26,378.896,10.192,6.16%,-295,2.64199537037036,6.05634722222221
02/07/2025,165.26,378.696,9.903,5.99%,-289,2.67834606481481,6.02325347222222
02/08/2025,165.26,378.488,9.605,5.81%,-298,2.58335798167506,6.03243205574913
02/09/2025,165.26,378.53,9.665,5.84%,60,6.76193055555556,6.06748611111111
02/10/2025,165.26,378.462,9.567,5.78%,-98,4.93288310185184,6.06714236111111
